Courier Slug,Courier Name
star-track,StarTrack
servip-webhook,SerVIP
espoirer,espoirer
rhenus-italy,Rhenus Logistics
pakajo,Pakajo World
arihantcourier,AICS
virtransport-sftp,Vir Transport
austrian-post,Austrian Post (Express)
milkman,Milkman
uship,uShip
line,Line Clear Express & Logistics Sdn Bhd
widect,Widect
colissimo,Colissimo
dpe-express,DPE Express
stallionexpress,Stallion Express
js-express,JS EXPRESS
estes,Estes
fastway-za,Fastway South Africa
ontrac,OnTrac
zajil-express,Zajil Express Company
fercam,FERCAM Logistics & Transport
zto-express,ZTO Express Global
edf-ftp,Eurodifarm
xpo-fr-api,XPO Last Mile France
kerry-ecommerce,Kerry eCommerce
rhenus-uk-api,Rhenus Logistics UK
legion-express,Legion Express
parceljet,Parceljet
ecparcel,ecParcel
aitworldwide-api,AIT
nowlog-api,Sequoialog
royalshipments,RoyalShipments
value-webhook,Value Logistics
taiwan-post,Taiwan Post
thecourierguy,The Courier Guy
sherpa,Sherpa
sendle,Sendle
arrow-api,Arrow
cello-square,Cello Square
liefery,liefery
skybox,SKYBOX
elite-co,Elite Express
japan-post,Japan Post
2go,2GO
cgs-express,CGS Express
jayonexpress,Jayon Express (JEX)
fulfillmen,Fulfillmen
polarspeed,PolarSpeed Inc
pickupp-sgp,PICK UPP (Singapore)
spreetail,Spreetail
mainfreight-api,Mainfreight
liccardi-express,LICCARDI EXPRESS COURIER
qtrack,QTrack
dpex,DPEX
chazki,Chazki
packlink,Packlink
rhenus-uk,Rhenus Logistics UK
alphafreight-webhook,Alpha Freight
dksh,DKSH
danniao,Danniao
clevy-links,Clevy Links
oneworldexpress,One World Express
anicamboxexpress,Anicam Global
shippit,Shippit
dsv-slovakia-sftp,DSV
grandslamexpress,Grand Slam Express
runforint,RFL Runforint Logistics
dhl-nl,DHL Netherlands
yurtici-kargo-api,Yurtici Kargo
ctc-express,CTC Express
frontier-api,Frontierscs
post56,Post56
yyexpress,YYEXPRESS
rpxonline,RPX Online
fastway-au,Aramex Australia
dx-sftp,DX
opek,FedEx® Poland Domestic
borderexpress,Border Express
ciblex-ftp,Ciblex
shopolive,Olive
dhl-poland,DHL Poland Domestic
pinag,PIN AG
ninjavan-id,Ninja Van Indonesia
fulfilla,Fulfilla
star-track-express,Star Track Express
adicional,Adicional Logistics
fairsenden-api,fairsenden
yanwen,Yanwen
air21,AIR21
flashexpress,Flash Express
ppbyb,PayPal Package
averitt,Averitt Express
myib-sftp,IB
champion-logistics,Champion Logistics
ninjavan,Ninja Van Singapore
hdb-box,Haidaibao (BOX)
gls-cz,GLS Czech Republic
correo-uy,Correo Uruguayo
geodis-api,GEODIS - Distribution & Express
aex,AEX Group
pandulogistics,Pandu Logistics
detrack-webhook,Detrack
gba,GBA Services Ltd
hong-kong-post,Hong Kong Post
bringer,Bringer Parcel Services
tolos,Tolos
smsa-express,SMSA Express
quantium,Quantium
uniuni,Uniuni
tntbrasil-web,TNT Brasil
pflogistics-ftp,PFL
raf,RAF Philippines
orangeconnex-ftp,Orange Connex
dhl-es,DHL Spain Domestic
aoyue,Aoyue
old-dominion-api,Old Dominion Freight Line
northline,Northline
nmtransfer,N&M Transfer Co., Inc.
dp-world-api,DP World
xpost,GoGo Xpress
wepost,WePost Sdn Bhd
weaship,Weaship
houndexpress,Hound Express
m-xpress,M Xpress Sdn Bhd
china-ems,China EMS (ePacket)
trunkrs,Trunkrs
gobolt,GoBolt
israel-post-domestic,Israel Post Domestic
asendia-hk,Asendia APAC
international-seur,International Seur
vnpost,Vietnam Post
spoton,SPOTON Logistics Pvt Ltd
ky-express,Kua Yue Express
diamondcouriers,Diamond Eurogistics Limited
dhl-global-mail-asia,DHL eCommerce Asia
deliveryontime,DELIVERYONTIME LOGISTICS PVT LTD
patheon,Patheon Logistics
packs,Packs
tgx,Kerry Express Hong Kong
fiege,Fiege Logistics
nim-express,Nim Express
cfl-logistics,CFL Logistics
wineshipping-webhook,Wineshipping
speedaf,Sppedaf Express
topyou,TopYou
purolator,Purolator
awest,American West
postnl-international,PostNL International
acilogistix,ACI Logistix
gso-api,GLS USA
yusen,Yusen Logistics
panther,Panther
amazon-fba-swiship,Swiship UK
xpo-logistics,XPO
eshipper,eShipper
servientrega,Servientrega
sendy,Sendy Express
fedex-fims,FedEx International MailService®
atshealthcare-reference,ATS Healthcare
iordirect,IOR Direct Solutions
roadrunner-freight,Roadrunner Transport Service
shipglobal-us,ShipGlobal
ucfs-api,UNITED CALIFORNIA FREIGHT SOLUTIONS
emega,eMEGA
deliveryourparcel-za,Deliver Your Parcel
hubbed,HUBBED
delhivery-webhook,Delhivery
jtexpress-ph,J&T Express Philippines
rixonhk-api,Rixon Logistics
heppner,Heppner Internationale Spedition GmbH & Co.
pchome-api,網家速配股份有限公司
shipa,SHIPA
hotsin-cargo,SHENZHEN HOTSIN CARGO INT'L FORWARDING CO.,LTD
delivere,deliverE
aramex,Aramex
envialia,Envialia
china-post,China Post
cj-gls,CJ GLS
pressiode,Pressio
nationex,Nationex
lmparcel,LM Parcel
spedisci,Spedisci.online
nippon-express-ftp,Nippon Express
courier-plus,Courier Plus
payo,Payo
dylt,Daylight Transport, LLC
cpacket,cPacket
tck-express,TCK Express
sino-scm,Sino SCM
tusklogistics,Tusk Logistics
posten-norge,Posten Norge / Bring
xpedigo,Xpedigo
viaxpress,ViaXpress
daiglobaltrack,DAI Post
gls-netherlands-sftp,GLS Netherlands
vesyl,Vesyl
aclogistics-mx-webhook,AC Logistics
mx-cargo,M&X cargo
chronopost-portugal,Chronopost Portugal(DPD)
yamato-tw-api,YAMATO Logistics (HK) LTD
brouwer-transport,Brouwer Transport en Logistiek B.V.
ddexpress,DD Express Courier
toshi-webhook,Toshi
airspeed,Airspeed International Corporation
paquetexpress,Paquetexpress
showl,SENHONG INTERNATIONAL LOGISTICS
pidge,Pidge
kinisi,Kinisi Transport Pty Ltd
shreetirupati,SHREE TIRUPATI COURIER SERVICES PVT. LTD.
meest,Meest
leman,Leman
latvijas-pasts,Latvijas Pasts
fastway-ireland,Fastway Ireland
delnext,Delnext
lbcexpress-api,LBC EXPRESS INC.
yundaex,Yunda Express
a2b-ba,A2B Express Logistics
speedy,Speedy
gls-netherlands,GLS Netherlands
arrowxl,Arrow XL
com1express,ComOne Express
elta-courier,ELTA Hellenic Post
parcelstars-webhook,Parcelstars
grupoampm,Grupo ampm
t-cat,T-cat
bpost-international,Bpost international
rpd2man,RPD2man Deliveries
forrun,forrun Pvt Ltd (Arpatech Venture)
het-api,High Energy Transport
coordinadora,Coordinadora
ptt-posta,PTT Posta
dhl-germany,Deutsche Post DHL
detrack,Detrack
metroscg,METRO SUPPLY CHAIN
ppl-api,Professional Parcel Logistics
morninglobal,Morning Global
furdeco,Furdeco
4px,4PX
urgent-cargus,Urgent Cargus
tforce-finalmile,TForce Final Mile
heroexpress,Hero Express
inpost-paczkomaty,InPost Paczkomaty
toptrans,TOPTRANS
dhl-benelux,DHL Benelux
parcelone,PARCEL ONE
gel-express,Gel Express Logistik
relaiscolis,Relais Colis
parcelright,Parcel Right
cambodia-post,Cambodia Post
customco-api,The Custom Companies
cloudwish-asia,Cloudwish Asia
ninjavan-thai,Ninja Van Thailand
17postservice,17 Post Service
korea-post,Korea Post EMS
k1-express,K1 Express
sap-express,SAP EXPRESS
trans-o-flex-sftp,trans-o-flex Express GmbH & Co. KGaA
viwo,VIWO IoT
speedee,Spee-Dee Delivery
maergo,Maergo
ntl,NTL logistics
jd-express,京东物流
globaltranz,GlobalTranz
hrparcel,HR Parcel
hsm-global,HSM Global
asyadexpress,Asyad Express
mazet,Groupe Mazet
dashlink,DashLink
eastwestcourier-ftp,East West Courier Pte Ltd
wishpost,WishPost
signia-ftp,SIGNIA LOGISTICS S.A.C.
la-poste-colissimo,La Poste
hrvatska-posta,Hrvatska Pošta
comboynegroup-webhook,Comboyne Group
ceva,CEVA LOGISTICS
brazil-correios,Brazil Correios
continental,Continental
gorush,Go Rush
joyingbox,Joying Box
interparcel-au,Interparcel Australia
asendia-de,Asendia
sntglobal-api,Snt Global Etrax
lexship,LexShip
lotte,Lotte Global Logistics
ltianexp,JiaYou Express
shipgate,ShipGate
carry-flap,Carry-Flap Co.,Ltd.
ewe,EWE Global Express
jitsu-ftp,Jitsu
airpak-express,Airpak Express
parcelpal-webhook,ParcelPal
medafrica,Med Africa Logistics
oca-ar,OCA Argentina
bombinoexp,Bombino Express Pvt Ltd
dhl-chile-sftp,dhl
geodis-usa-api,Geodis MyParcel
kangaroo-my,Kangaroo Worldwide Express
swe,swe
totalmedia-api,Total Media
tnt-uk,TNT UK
wahana,Wahana
jocom,Jocom
mondialrelay-es,Mondial Relay Spain(Punto Pack)
apple-express-webhook,Apple Express
ups-mi,UPS Mail Innovations
raben-group-sftp,Raben Group
global-express,Tai Wan Global Business
ceva-tracking,CEVA Package
szdpex,DPEX China
